date,price
2024-10-30,46.69
2024-10-29,46.62
2024-10-28,46.59
2024-10-25,46.52
2024-10-24,46.90
2024-10-23,46.86
2024-10-22,47.05
2024-10-21,47.23
2024-10-18,46.72
2024-10-17,46.74
2024-10-16,46.72
2024-10-15,47.54
2024-10-14,46.80
2024-10-11,46.78
2024-10-10,46.61
2024-10-09,46.89
2024-10-08,47.76
2024-10-07,47.60
2024-10-04,47.27
2024-10-03,47.28
2024-10-02,46.51
2024-10-01,46.48
2024-09-30,46.58
2024-09-27,46.67
2024-09-26,45.31
2024-09-25,45.29
2024-09-24,44.38
2024-09-23,44.24
2024-09-20,43.95
2024-09-19,43.62
2024-09-18,43.48
2024-09-17,43.49
2024-09-16,43.53
2024-09-13,43.30
2024-09-12,42.70
2024-09-11,42.68
2024-09-10,42.96
2024-09-09,42.62
2024-09-06,43.08
2024-09-05,43.14
2024-09-04,43.52
2024-09-03,43.67
2024-09-02,43.98
2024-08-30,43.78
2024-08-29,43.68
2024-08-28,43.63
2024-08-27,43.55
2024-08-26,43.52
2024-08-23,43.96
2024-08-22,43.72
2024-08-21,43.84
2024-08-20,43.94
2024-08-19,43.83
2024-08-16,43.83
2024-08-15,42.86
2024-08-14,43.21
2024-08-13,43.04
2024-08-12,42.74
2024-08-09,42.68
2024-08-08,42.42
2024-08-07,41.40
2024-08-06,40.97
2024-08-05,42.47
2024-08-02,44.36
2024-07-31,43.50
2024-07-30,43.81
2024-07-29,43.60
2024-07-26,43.19
2024-07-25,43.72
2024-07-24,43.93
2024-07-23,43.91
2024-07-22,43.89
2024-07-19,44.54
2024-07-18,44.58
2024-07-16,44.92
2024-07-15,45.21
2024-07-12,45.52
2024-07-11,45.25
2024-07-10,44.87
2024-07-09,44.72
2024-07-08,44.73
2024-07-05,44.81
2024-07-04,44.28
2024-07-03,44.10
2024-07-02,44.13
2024-07-01,44.19
2024-06-28,44.32
2024-06-27,44.15
2024-06-26,44.30
2024-06-25,45.32
2024-06-24,45.53
2024-06-21,45.53
2024-06-20,45.51
2024-06-19,45.12
2024-06-18,44.74
2024-06-17,44.80
2024-06-14,44.44
2024-06-13,44.20
2024-06-12,44.37
2024-06-11,44.60
2024-06-10,44.39
2024-06-07,44.19
2024-06-06,43.95
2024-06-05,43.08
2024-06-04,44.39
2024-06-03,43.10
2024-05-31,43.60
2024-05-30,44.21
2024-05-29,44.45
2024-05-28,44.70
2024-05-27,44.50
2024-05-24,44.84
2024-05-23,45.22
2024-05-22,44.89
2024-05-21,45.41
2024-05-20,45.13
2024-05-17,45.05
2024-05-16,44.57
2024-05-15,44.64
2024-05-14,44.75
2024-05-13,44.34
2024-05-10,43.85
2024-05-09,44.01
2024-05-08,43.97
2024-05-07,44.24
2024-05-06,44.14
2024-05-03,43.64
2024-05-02,43.28
2024-04-30,43.41
2024-04-29,43.25
2024-04-26,42.36
2024-04-25,42.75
2024-04-24,42.34
2024-04-23,42.15
2024-04-22,42.02
2024-04-19,42.12
2024-04-18,42.12
2024-04-17,41.97
2024-04-16,42.94
2024-04-15,43.20
2024-04-12,43.56
2024-04-11,43.53
2024-04-10,43.12
2024-04-09,42.97
2024-04-08,42.95
2024-04-05,42.99
2024-04-04,42.69
2024-04-03,43.06
2024-04-02,42.95
2024-03-28,42.45
2024-03-27,42.72
2024-03-26,42.55
2024-03-25,42.54
2024-03-22,42.73
2024-03-21,42.17
2024-03-20,41.87
2024-03-19,42.23
2024-03-18,42.10
2024-03-15,42.50
2024-03-14,42.33
2024-03-13,42.50
2024-03-12,42.32
2024-03-11,42.26
2024-03-08,41.79
2024-03-07,41.75
2024-03-06,41.70
2024-03-05,42.07
2024-03-04,41.91
2024-03-01,41.78
2024-02-29,41.59
2024-02-28,42.17
2024-02-27,41.99
